Theme,DataPoints,Unit_of_Measurement,Agartala,Agra,Ahmedabad,Aizawl,Ajmer,Aligarh,Allahabad,Amaravati,Amritsar,Aurangabad,Bareilly,Belgaum,Bengaluru,Bhopal,Bhubaneswar,Biharsharif,Bilaspur,Chandigarh,Chennai,Coimbatore,Dahod,Davangere,Dehradun,Dharamshala,Diu,Erode,Faridabad,Gandhinagar,Gangtok,Guwahati,Gwalior,Hubli_Dharwad,Imphal,Indore,Itanagar,Jabalpur,Jaipur,Jalandhar,Jammu,Jhansi,Kakinada,Kalyan_Dombivali,Kanpur,Karimnagar,Karnal,Kavaratti,Kohima,Kota,Lucknow,Ludhiana,Madurai,Mangalore,Moradabad,Muzaffarpur,Nagpur,Namchi,Nashik,Naya_Raipur,NDMC,New_Town_Kolkata,Panaji,Pasighat,Patna,Pimpri_Chinchwad,Portblair,Puducherry,Pune,Raipur,Rajkot,Ranchi,Rourkela,Sagar,Saharanpur,Salem,Satna,Shimla,Silvassa,Solapur,Srinagar,Surat,Thane,Thanjavur,Thoothukudi,Tiruchirappalli,Tirunelveli,Tirupati,Tiruppur,Tiruvanantapuram,Tumakuru,Udaipur,Ujjain,Vadodara,Varanasi,Vellore,Visakhapatnam,Warangal,Ref-Year
Urban Planning,Letter of State Biodiversity Board validating People,Categorial,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,2019
Urban Planning,Master plan/ greening plans/ rejuvenation plans show measures to increase biodiversity,Categorial,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,2019
Waste Management,Notification of User Charges,Categorial,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,2019
Waste Management,Copy of Contract with Private agency,Categorial,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,2019
Waste Management,Evidence on Helpline Number Exists for C&D Waste Management,Categorial,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,2019
Waste Management,Private agency (contract copy) / ULB dept with vehicle details assigned for C&D Waste transport,Categorial,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,2019
Waste Management,Data Records/Log books,Categorial,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,2018
Waste Management,C&D waste processing facility,Categorial,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,2019
Waste Management,Data Records/Log books,Categorial,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,2018
Waste Management,Sale record /receipts/Data Records/Log books of city's recycled C&D waste is reused,Categorial,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,
Waste Management,Environmental Clearance form SEIAA or as applicable for the State,Categorial,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,2019
Waste Management,Concessionaire agreement of the contractor,Categorial,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,2019
Waste Management,Weigh bridge records for inert/waste disposed in scientific landfill,Categorial,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,6
Waste Management,Copy of DPR or Concessionaire agreement if Project on PPP Model,Categorial,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,2019
Waste Management,Copy of Technical Design Layout,Categorial,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
Water Resource Management,Report/study/plan indicating stock of existing water resources and its uses,Categorial,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
Water Resource Management,Report/study/plan estimating future water availability,Categorial,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,
Water Resource Management,Water Resource Management Plan,Categorial,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,2019
Water Resource Management,Implementation of water resource management plan,Categorial,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,2019
Water Resource Management,Report/study reviewing actions taken as part of Water Resources Management Plan,Categorial,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,2019
Water Resource Management,Rapid flood risk assessment report,Categorial,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2019
Water Resource Management,Comprehensive flood risk assessment report,Categorial,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,2019
Water Resource Management,Flood management plan/ Drainage Master Plan/ Stormwater Management Plan with strategies,Categorial,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,2019
Water Resource Management,Latest Work Orders issued/ Utilization Certificates for executed works,Categorial,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,2019
Water Resource Management,Certification from Commissioner/ Competent Authority on Wastewater systems run by gravity,Categorial,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,
Water Resource Management,Certification from Commissioner/ Competent Authority on Water Supply systems run by gravity,Categorial,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,
Energy,Cumulative power generated by renewable energy sources within city,KwH,NULL,2330642,2406440000,9371293,6459624,NULL,4000000,20400,1400,2452830000,NULL,11629000,0.99,19.188,8335,2,837,1406000,8630080,3294762.14,NULL,99285,695000,NULL,9140184,2788000,44636300,NULL,12046000,3880,1871964000,1474887,2253150,2617000,3124,NULL,23600000,2943,NULL,140,NULL,NULL,9740000,295000,NULL,137716,NULL,1317684620,NULL,2296600.85,6600000,464748,NULL,50,2010219161,165240,2830,283666.9,2877819,703.62,NULL,NULL,NULL,3378495,8000000,2583748,0,2583700,14914411,2657,NULL,NULL,NULL,1718111.52,272.3,154506182,485,NULL,2732413000,28724340,1442665,NULL,46900,2471608.5,NULL,171101.47,4600000,855,14554.4,408432,1258000,4239335,12345,14640,1865169.3,NULL,2018
Energy,Cumulative power supplied by renewable energy sources to city,KwH,NULL,2330642,NULL,9371293,1434502,207,40000,20400,NULL,NULL,53296,60400,1290.69,3555,NULL,23,837,1406000,3610017,3294762.14,83458,1802009,695000,NULL,9140184,2788000,6200000,NULL,NULL,570000,378,NULL,NULL,1178000,12359578,NULL,23600000,2943,590.13,140,NULL,NULL,1558400,295000,1.45963,355573,NULL,2517766,NULL,1756776.89,1921165,464748,5000,25,3361952,4402240,2830,280650,6530009.72,608.44,NULL,1068435,NULL,3378495,8000000,2583748,8748494,NULL,14914411,2657,NULL,NULL,NULL,1718777.52,81.6,9280,409,NULL,2232413000,617102035,5902251,296,150559,2471608.5,1578450,171101.47,1763712,2375,14554.4,408432,314000,4239335,41543,14640,1865169.3,68700,2018
Energy,Cumulative installed capacity from renewable energy sources,KW,NULL,4453,13140,NULL,3687,546,10000,1400,NULL,5000,2006,18907,1094.94,3555,NULL,22,405.82,29834.78,26641,5600,126.03,1623,5290,NULL,11298,3810,5841,NULL,6100,3880,622,2579.48,1515,6210,3124,4133.36,50500,2943,NULL,140,NULL,754,7481.83,520,1823.03,760,NULL,3646.5,NULL,6531.51,1522,4906,NULL,10,18120.57,NULL,24354.4,1450,10.551,703.62,NULL,100,NULL,13904.34,1165,2325.5,30724,3685,10215.35,2657,89.3,NULL,NULL,1498,206.4,0,489,NULL,100,27464.66,22448,18558,158,1792,523,10287.575,175,NULL,1455.44,4354.4,787.84,43719.3,45213,14640,17364.14,2290,2018
Energy,Total connected load in city (energy),KW,NULL,1120183,1832000,198.161,404880,259524,7000000,57436.94,801248,1086290,497678,358281,17522706.46,1030138,72193000,22,123920,1625136,14109096,NULL,67074,13258,411000,31252.5,42636.38,1207620,3065897,NULL,60000,1225425.38,625411,NULL,NULL,1947101,52640,729747,4320000,1787082,730000,312912.139,NULL,7500,2024607,101319,426669,16939.958,36215,673876.5,2562364.78,4932379,1436059,853181,530000,69000,473133.258,7000,1356960,27599,400000,358846.1,143095,6950,824000,3368966.18,160948.325,1267410,6328071,5854543,1353000,761.5,177149,120808,2599,607832.98,2046523,139095,665000,NULL,436894,4540421.75,1737517.552,9248,115000,681108,441350,598754,388000,NULL,14554.4,708195.9,241175,1594350.74,1019475,570430,29364.14,735000,2018
Energy,Total power consumption in city,KwH,NULL,645733071,7423680000,222896688,528420000,1318980,6000000,22290000,8242.5,1998410000,859.057,46733254,6642,195613000,721930000,22,595140000,529471600,6098688629,NULL,75.32,122057000,1016000000,665.40492,25519273,741670000,42030180,NULL,85900000,92836031,88680575,450660,NULL,1123355000,12359578,530850298,235620000,19275.73,64.98,53742896.1,43650000,179800000,1725245000,434206127,5535.36,11663531,78000,1018187766,6077119300,64503,123293058,91252724,38690,68143,1758520928,8474000,1520000,6085412,1500000000,357477000,NULL,781829,2882504000,3015270000,25000,2020120000,4415552452,924820564,1.83E+11,121.43,2967.266,73691590,75,910033637.5,19249.9,145468380,665000,NULL,1192613000,7837649711,997040000,169005104,24906700,4797288631,372420000,48774,4580000,NULL,2424252,87281500000,466314000,1535731711,5755295.7,40948721,1865169.3,81716796,2018
Energy,Total number of units lost (energy),KwH,NULL,96913184,37950000,128499998,59220000,23000000,20,1650000,989.1,4544200000,13.01,4670000,1052.62,56200000,7219300,22,96510000,75077075,460178575,NULL,12.49,11972915,87000000,NULL,1129574,103830000,2605120,NULL,41120000,170000,807797100,35000,NULL,272239000,694619.64,115980082,196100000,1787.87,21.44,32.48,1410000,21504080,213853000,24579112,909.79,7,NULL,299496853.7,15.67,3339,1347773054,816514,7854.6,16,251698232.8,2500000,212000,NULL,150000000,7376000,NULL,226606,620626000,319570000,1000,NULL,324858127,60708596,177610000,43,570.566,33.95,13.5,99646242.5,1331.3,9037802,NULL,NULL,1830716710,157733431,283865538.8,13.9,2739739,11.7,372420000,1463,20000,NULL,5210,66302000,173468000,73749.27,1993666.67,NULL,111910,5148158,2018
Energy,Total electricity consumption for municipal services,KwH,NULL,54151640,298600898,47334869,3750000,732,655200,1000000,NULL,1296688,5260.1,24541911,149.86,62000,9620000,22,9082.45,151092507,91435554,50148157.54,2224652,22111,71127806,548268,NULL,14626000,39963360,NULL,120460000,7250000,19145851,NULL,NULL,6693495,38,81186725,5556,24914.88,32633515,NULL,334639,2180000,18500000,7516277,NULL,NULL,22,28195448,2562364.78,80380433,733534,6000,675981,45000,3603718,35000,44161135,2435935,55990000,346558000,110781,NULL,80724041.6,149201117.3,25000,665000,10131.176,25006288.7,62680353,1074094.5,1140.5,2079176,1620,19922026.8,1364.23,145468380,665000,NULL,200000,260400000,78028648,7990521,4780538,43071070,16020000,1982669,29022571,NULL,2718.099,28379568,14272000,46732305,10430.59,18929925,2063.011438,1864678,2018
Energy,Total population of city,Number,637324,1800000,6600540,293416,542321,1321579,1696800,107418,11.32,1437058,1028000,507568,13000000,2371000,939818.2,22,567493,1147000,7523337,1692915,94578,4251364,803983,53543,23991,546978,1438855,NULL,100286,NULL,1367474,943788,305772,2521938,166028,1440034,3046163,961097,607181,601105,349709,1246381,3250000,306020,410000,12186,99039,2.744,3453902,1618879,1573161,550428,8787871,354462,2736827,12190,1772118,60692,257803,80134,NULL,35677,2000000,2542600,140747,244000,4296699,1026000,1508933,1225913,361717,273357,830000,939690,33500,235000,100000,951558,1180570,6637995,2364866,222619,372408,1059313,474838,411686,1020000,1012119,302143,515177,515215,2000000,1441251,569167,1881952,941240,2019
Energy,Total area of city,km sq,983.63,141,466,3576.31,87.5,63,82,217,170,170,106,94.08,850,2772,422,22,29.78,114,426,257.04,6.61,3985.52,1952.55,27.6,17.81,109.52,208,2000,19.2,328,423.35,202,800,276,51,264,467,110,189.48,5024,31.69,116.08,328.08,23.85,6888.29,4.22,31,527,356,159.37,147.97,132.45,75,36.88,227.32,7.15,267.48,80.13,42.74,29.57038,8.12,14.7,109,177,41.22,19.46,332.17,175.5,129.21,175,53.3,33.75,73,91.34,71.67,19.99,18,180.7,1979,326.52,128.23,36.33,90.66,167.23,108.65,27.44,159.35,215.86,48.21,64.1,157,159.95,82.1,87.915,620,407.77,2019
Energy,Total diesel consumption,KL,NULL,2296.859,NULL,4250,40337,915.976,1150,9,NULL,NULL,779.814,58170,NULL,32.93,350.4503,22,148,1800.96,7144,2357.482,62.708,240.06,180,NULL,NULL,49.985,648000,NULL,13.6,89,2190,NULL,16.667,2660.32,316.764,1476,66110,3.9,NULL,66.02,10.24575,773.083,13000,372.6,NULL,NULL,62.554,414.71,4372,16600326,1421.316,584.9,501.846,NULL,656.389,1.55,297.031,0.81294,NULL,314.6481,NULL,1587,NULL,540.11,153666,1.35,1828.67,435.06,1044,116263,196.14,11.692,53.69,19.08,14156,0,NULL,NULL,NULL,2551.87,129.779,5.1,17.022,911.507,310,90,927.2,NULL,23.1,4390,647.16,0.54,1059,205,253,458.621,2018
Energy,Total petrol consumption,KL,NULL,25.308,NULL,2735,35655,9.585,NULL,NULL,NULL,NULL,8.672,4888,NULL,47473,18.3635,22,7,435.14,101,19.731,1.17,NULL,NULL,NULL,NULL,NULL,43607,NULL,11,NULL,16,NULL,0.972,58.74,0,3.185,42809,0.25,NULL,NULL,NULL,7.632,24000,NULL,NULL,NULL,4.596,4.393,108,142918,NULL,NULL,20.136,NULL,66.726,NULL,5.55,NULL,NULL,NULL,NULL,NULL,NULL,270.05,11904,0.01,175.9,0.945,NULL,1107,NULL,NULL,0.672,NULL,NULL,0,NULL,NULL,NULL,111.519,52.3405,NULL,0.099,0.06,9,NULL,47.89,NULL,0.1,3910.4,NULL,0.5,6.158,NULL,NULL,46.769,2018
Energy,Total LPG consumption,KL,NULL,NULL,NULL,16852.228,22178,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,22,NULL,6669,NULL,58.14,NULL,NULL,NULL,NULL,NULL,73.74,NULL,NULL,37719,NULL,NULL,NULL,NULL,0.228,0,NULL,556,NULL,NULL,NULL,NULL,NULL,700000,NULL,NULL,2629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200000,NULL,NULL,NULL,157604.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,168.56,NULL,NULL,211.6,NULL,NULL,NULL,2018
Energy,Total CNG consumption,KL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150.672,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250,NULL,NULL,NULL,56491,NULL,8145.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,NULL,2018
Energy,Total population of city,Number,637324,1800000,6600540,307169,542321,1321579,1696800,107418,11.32,1437058,1028000,507568,13000000,2371000,939818.2,297268,567493,1147000,7523337,1692915,94578,583232,803983,53543,23991,546978,1438855,300000,100286,2192400,1367474,943788,305772,2521938,166028,1206606,3046163,961097,607181,601105,349709,1246381,3250000,306020,410000,11210,99039,1001694,3453902,1618879,1573616,488968,887871,354462,2736827,12190,1772118,60692,257803,80134,40017,35000,2000000,2542600,140747,244000,4296699,1026000,1508933,1225913,309689,2378458,705478,939690,33500,169578,168000,951558,1180570,6637995,2364866,222943,372408,1059313,474838,411686,1020000,1012119,302143,515177,515215,2000000,1441251,569167,1881952,941240,2019
Energy,Energy efficient street lights in city,Number,32216,47923,168071,1288,39954,22752,45150,12685,66976,28865,22429,33528,71122,22000,38000,22,16935,42103,285828,41543,4969,2604,41940,3548,1896,17389,34662,NULL,1094,19500,1250,3548,NULL,122401,545,11774,120000,8000,2626,24077,14119,7071,91935,14982,3688,1195,253,12881,183100,105236,46136,5082,41298,17311,120343,170,16559,5866,6000,2978,NULL,197,72257,44177,13500,969,85385,55185,63178,43320,10456,684,19125,28155,812,9200,3121,NULL,4200,109837,31300,8053,966,30608,23610,12353,20344,4222,2649,38073,14983,64242,0,13988,118322,56509,2019
Energy,Total number of street lights in city,Number,32216,50984,168071,4808,48954,36211,45150,13856,750,64819,38589,33528,504769,59800,45000,22,16935,48524,285828,95602,4969,21111,42000,3548,1896,21807,63685,NULL,1880,29000,40000,58064,1125,125674,1829,41255,290000,70000,39260,29533,14119,39395,101543,14982,19649,1795,483,12899,179627,105236,54463,67601,NULL,17311,143256,217,92014,10334,6000,6971,NULL,197,72257,84209,13500,33831,168038,55185,63178,43320,13038,9513,35000,29839,10462,9200,3121,NULL,50000,136279,40694,11124,15902,39085,25107,12353,31950,93411,37855,38073,39320,76183,0,34515,118322,56509,2019
